
保有証券一覧

投資信託（金額/特定預り）合計

評価額合計,評価損益合計
33855,+1608

投資信託（金額/特定預り）

ファンド名,保有口数,売却注文中,取得単価,基準価額,取得金額,評価額,評価損益,分配金受取方法
"インベスコ　世界厳選株式オープン＜為替ヘッジなし＞（毎月決算型）",37849口,,8520,8945,32247,33855,+1608,受取

投資信託（金額/NISA預り（つみたて投資枠））合計

評価額合計,評価損益合計
1331953,+401951

投資信託（金額/NISA預り（つみたて投資枠））

ファンド名,保有口数,売却注文中,取得単価,基準価額,取得金額,評価額,評価損益,分配金受取方法
"ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",305179口,,30474,43645,930002,1331953,+401951,再投資

投資信託（金額/旧つみたてNISA預り）合計

評価額合計,評価損益合計
180367,+80367

投資信託（金額/旧つみたてNISA預り）

ファンド名,保有口数,売却注文中,取得単価,基準価額,取得金額,評価額,評価損益,分配金受取方法
"ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",41326口,,24198,43645,100000,180367,+80367,再投資






