通貨指定,商品指定,期間（国内約定日）開始,期間（国内約定日）終了,明細数
"すべての通貨","すべての商品","2021年01月01日","2026年05月19日","89"
国内約定日,通貨,銘柄名,取引,預り区分,約定数量,約定単価,国内受渡日,受渡金額
"2025年04月11日","米国ドル","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","買付","特定","21","9","25/04/15","189.93"
"2025年04月07日","米国ドル","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","買付","特定","17","8.85","25/04/09","151.19"
"2025年04月07日","米国ドル","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","買付","特定","17","8.9","25/04/09","152.04"
"2025年04月07日","米国ドル","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","買付","特定","20","8.9","25/04/09","178.88"
"2025年04月07日","米国ドル","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","買付","特定","20","8.8","25/04/09","176.87"
"2025年04月04日","日本円","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","買付","特定","50","13.35","25/04/08","98143"
"2025年04月03日","日本円","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","売却","特定","100","15.68","25/04/07","230620"
"2025年04月01日","日本円","Direxionデイリー半導体株ブル3倍ETF SOXL / NYSE ARCA","買付","特定","100","14.88","25/04/03","224288"
"2025年03月18日","日本円","テスラ TSLA / NASDAQ","買付","NISA","1","242","25/03/21","36241"
"2025年03月14日","日本円","パランティア テクノロジーズ A PLTR / NASDAQ","買付","NISA","10","79.3","25/03/18","117816"
"2025年03月07日","日本円","テスラ TSLA / NASDAQ","買付","NISA","3","265","25/03/11","117866"
"2025年03月04日","日本円","テスラ TSLA / NASDAQ","買付","NISA","2","296","25/03/06","88492"
"2025年03月03日","米国ドル","オクロ A OKLO / New York Stock Exchange","買付","特定","15","33","25/03/05","497.45"
"2025年02月28日","米国ドル","スーパー マイクロ コンピューター SMCI / NASDAQ","売却","NISA","11","47","25/03/04","517"
"2025年02月27日","日本円","パランティア テクノロジーズ A PLTR / NASDAQ","買付","NISA","10","88","25/03/03","131489"
"2025年02月25日","日本円","パランティア テクノロジーズ A PLTR / NASDAQ","買付","NISA","10","89.8","25/02/27","135068"
"2025年02月25日","日本円","パランティア テクノロジーズ A PLTR / NASDAQ","買付","NISA","1","104.5","25/02/27","15717"
"2025年02月25日","日本円","パランティア テクノロジーズ A PLTR / NASDAQ","買付","NISA","9","101","25/02/27","136722"
"2025年02月25日","米国ドル","パランティア テクノロジーズ A PLTR / NASDAQ","買付","NISA","4","103.5","25/02/27","414"
"2025年02月19日","米国ドル","マイクロソフト MSFT / NASDAQ","売却","NISA","1","408.55","25/02/21","408.55"
"2025年02月17日","米国ドル","サウンドハウンド AI A SOUN / NASDAQ","買付","NISA","1","11.4","25/02/19","11.4"
"2025年02月12日","日本円","スーパー マイクロ コンピューター SMCI / NASDAQ","買付","NISA","10","41.5","25/02/14","63681"
"2025年02月12日","米国ドル","スーパー マイクロ コンピューター SMCI / NASDAQ","買付","NISA","1","41.5","25/02/14","41.5"
"2025年02月04日","日本円","マイクロソフト MSFT / NASDAQ","買付","NISA","1","409","25/02/06","63619"
"2025年01月29日","米国ドル","レッドワイヤー RDW / New York Stock Exchange","売却","特定","1","21.85","25/01/31","21.75"
"2025年01月29日","米国ドル","インテュイティヴ マシーンズ A LUNR / NASDAQ","売却","特定","1","21.2","25/01/31","21.1"
"2025年01月22日","日本円","ストラテジー Inc A MSTR / NASDAQ","売却","NISA","2","398","25/01/24","123627"
"2024年12月23日","日本円","IonQ Inc IONQ / New York Stock Exchange","売却","特定","19","38.5","24/12/25","113834"
"2024年12月10日","日本円","IonQ Inc IONQ / New York Stock Exchange","買付","特定","18","35.3","24/12/12","96923"
"2024年12月10日","米国ドル","IonQ Inc IONQ / New York Stock Exchange","買付","特定","1","35.5","24/12/12","35.67"
"2024年12月05日","米国ドル","レッドワイヤー RDW / New York Stock Exchange","買付","特定","1","13.27","24/12/09","13.33"
"2024年12月05日","米国ドル","インテュイティヴ マシーンズ A LUNR / NASDAQ","買付","特定","1","12.738","24/12/09","12.8"
"2024年12月05日","米国ドル","ロケット ラボ コーポレーション RKLB / NASDAQ","買付","特定","1","23.87","24/12/09","23.98"
"2024年12月05日","米国ドル","IonQ Inc IONQ / New York Stock Exchange","買付","NISA","1","34.4","24/12/09","34.4"
"2024年12月02日","日本円","ストラテジー Inc A MSTR / NASDAQ","買付","NISA","2","410","24/12/04","123369"
"2024年11月20日","日本円","エコペトロール ADR EC / New York Stock Exchange","売却","NISA","7","8.09285714","24/11/22","8763"
"2024年11月19日","米国ドル","エヌビディア NVDA / NASDAQ","売却","NISA","1","137.655","24/11/21","137.66"
"2024年10月17日","日本円","エコペトロール ADR EC / New York Stock Exchange","買付","NISA","7","8.34","24/10/21","8749"
"2024年08月29日","日本円","エヌビディア NVDA / NASDAQ","買付","NISA","1","127","24/09/02","18388"
