
約定履歴照会 

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2024年01月19日","2026年05月18日","102","1","102"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2025/02/21","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス",,,投信金額解約,"--"," NISA(成) ","非課税",149021,70149,--,--,"2025/02/27",1045367
"2025/02/25","リミックスポイント","3825","PTS（J）",株式現物売,"--"," 特定 ","申告",500,540,--,--,"2025/02/27",270000
"2025/02/28","メタプラネット","3350","PTS（J）",株式現物売,"--"," NISA(成) ","非課税",200,2600,--,--,"2025/03/05",520000
"2025/03/04","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",15795,31656,--,--,"2025/03/07",50000
"2025/03/14","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）",,,投信金額買付,"--"," 特定/一般 ","--",11520,8666,--,--,"2025/03/19",9983
"2025/03/18","ディー・エヌ・エー","2432","PTS（J）",株式現物売,"--"," 特定 ","申告",200,3350.5,--,--,"2025/03/24",670100
"2025/03/18","ディー・エヌ・エー","2432","東証",株式現物買,"--"," 特定 ","--",200,3315,--,--,"2025/03/21",663000
"2025/03/19","ディー・エヌ・エー","2432","東証",株式現物買,"--"," 特定 ","--",200,3369,--,--,"2025/03/24",673800
"2025/03/19","三菱商事","8058","PTS（J）",株式現物買,"--"," 特定 ","--",100,2826.5,--,--,"2025/03/25",282650
"2025/03/21","ディー・エヌ・エー","2432","東証",株式現物売,"--"," 特定 ","申告",200,3405,--,--,"2025/03/25",681000
"2025/03/21","メタプラネット","3350","PTS（J）",株式現物売,"--"," 特定 ","申告",100,4953,--,--,"2025/03/26",495300
"2025/03/21","メタプラネット","3350","PTS（J）",株式現物買,"--"," 特定 ","--",100,4916.5,--,--,"2025/03/26",491650
"2025/03/24","リミックスポイント","3825","PTS（J）",株式現物買,"--"," 特定 ","--",100,501.2,--,--,"2025/03/27",50120
"2025/03/24","リミックスポイント","3825","PTS（J）",株式現物買,"--"," 特定 ","--",200,501.3,--,--,"2025/03/27",100260
"2025/03/24","リミックスポイント","3825","PTS（J）",株式現物買,"--"," 特定 ","--",300,502.1,--,--,"2025/03/27",150630
"2025/03/31","ソシオネクスト","6526","東証",株式現物買,"--"," 特定 ","--",100,1818,--,--,"2025/04/02",181800
"2025/04/04","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",17481,28603,--,--,"2025/04/09",50000
"2025/04/09","メタプラネット","3350","東証",株式現物買,"--"," NISA(成) ","--",300,295,--,--,"2025/04/11",88500
"2025/04/09","メタプラネット","3350","東証",株式現物買,"--"," NISA(成) ","--",300,302,--,--,"2025/04/11",90600
"2025/05/08","メタプラネット","3350","東証",株式現物売,"--"," NISA(成) ","非課税",100,510,--,--,"2025/05/12",51000
"2025/05/08","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",17021,29376,--,--,"2025/05/13",50000
"2025/05/09","メタプラネット","3350","--",株式現物売,"--"," NISA(成) ","非課税",10,550,--,--,"2025/05/13",5500
"2025/05/09","上新電機","8173","--",株式現物売,"--"," NISA(成) ","非課税",1,2230,--,--,"2025/05/13",2230
"2025/05/12","ディー・エヌ・エー","2432","PTS（J）",株式現物買,"--"," 特定 ","--",100,3047,--,--,"2025/05/15",304700
"2025/05/13","ソシオネクスト","6526","東証",株式現物売,"--"," 特定 ","申告",100,1900,--,--,"2025/05/15",190000
"2025/05/14","メタプラネット","3350","PTS（J）",株式現物売,"--"," NISA(成) ","非課税",100,603,--,--,"2025/05/19",60300
"2025/05/15","三菱商事","8058","PTS（J）",株式現物売,"--"," 特定 ","申告",100,2839,--,--,"2025/05/19",283900
"2025/05/23","リミックスポイント","3825","PTS（J）",株式現物売,"--"," 特定 ","申告",600,525,--,--,"2025/05/28",315000
"2025/06/10","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",3164,31608,--,--,"2025/06/13",10000
"2025/07/08","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",3019,33125,--,--,"2025/07/11",10000
"2025/08/08","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",2942,33997,--,--,"2025/08/14",10000
"2025/09/09","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",2866,34901,--,--,"2025/09/12",10000
"2025/10/01","メタプラネット","3350","PTS（J）",株式現物買,"--"," 特定 ","--",200,546.3,--,--,"2025/10/06",109260
"2025/10/08","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",2680,37316,--,--,"2025/10/14",10000
"2025/10/09","メタプラネット","3350","PTS（J）",株式現物売,"--"," 特定 ","申告",200,557.6,--,--,"2025/10/15",111520
"2025/10/17","メタプラネット","3350","PTS（J）",株式現物売,"--"," NISA(成) ","非課税",400,399,--,--,"2025/10/22",159600
"2025/11/07","ディー・エヌ・エー","2432","PTS（J）",株式現物売,"--"," 特定 ","申告",100,2623,--,--,"2025/11/11",262300
"2025/11/10","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",2645,37812,--,--,"2025/11/13",10000
"2025/12/03","インベスコ　世界厳選株式オープン＜為替Ｈなし＞（毎月決算型）",,,投信金額買付,"--"," 特定/一般 ","--",26329,8765,--,--,"2025/12/08",23077
"2025/12/09","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",2561,39046,--,--,"2025/12/12",10000
"2025/12/10","ファナック","6954","東証",株式現物買,"--"," 特定 ","--",100,6200,--,--,"2025/12/12",620000
"2025/12/11","ファナック","6954","PTS（J）",株式現物売,"--"," 特定 ","申告",100,6130,--,--,"2025/12/15",613000
"2025/12/12","Ｓｙｎｓｐｅｃｔｉｖｅ","290A","PTS（J）",株式現物買,"--"," 特定 ","--",200,1220,--,--,"2025/12/16",244000
