"投資信託"

"すべて件数","3"
"投資信託件数","3"
"約定日","2023/6/25-2026/5/18"
"種類","投資信託"
"口座","すべて"

"商品","実現損益(税引前・円)","利益金額(円)","損失金額(円)"
"投資信託","+177,705","177,705","0"
"合計","+177,705","177,705","0"

"約定日","口座","ファンド名","商品","取引","数量","解約額単価","平均取得価額","実現損益(税引前・円)"
"2025/2/21","NISA（成長投資枠）","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス","投資信託","買取/解約","149,021","70,149","60,176","+148,619"
"2024/11/22","NISA（成長投資枠）","ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス","投資信託","買取/解約","45,985","65,238","60,176","+23,281"
"2024/11/22","特定","ｉＦｒｅｅレバレッジ　ＮＡＳＤＡＱ１００","投資信託","買取/解約","8,426","44,180","37,291","+5,805"

